Run ID,Name,Source Type,Source Name,User,Status,estimator,estimatorParamMapsLength,evaluator,maxBins,maxDepth,mlEstimatorUid,mlModelClass,numFolds,numTrees,avg_rmse,std_rmse,testData_rmse
500a0ecfed56410b88437f35b7fd354a,,,,iitdanand1@gmail.com,RUNNING,,,,8,25,Pipeline_0e799fd9d5d0,Pipeline,,50,0.16021495166041497,0.018890545837099856,
7e2d4864a0284a5ab95d4792cf599e1f,,,,iitdanand1@gmail.com,RUNNING,,,,4,25,Pipeline_0e799fd9d5d0,Pipeline,,50,0.1747046785295312,0.03077257342970797,
c4cf1558ea6c4f719bb27f10ded51920,,,,iitdanand1@gmail.com,RUNNING,,,,2,25,Pipeline_0e799fd9d5d0,Pipeline,,50,0.19362511648521327,0.021858261236908528,
d626571ac19c4f81a6caf83b73582558,,NOTEBOOK,/Users/moussagarba@icloud.com/3.Researching the model that will be best for the type of data/Random_forest merged_emp (1),iitdanand1@gmail.com,FINISHED,Pipeline,3,RegressionEvaluator,,,CrossValidator_c1a1ddfecd18,CrossValidator,3,,,,0.1569439405300781
5977e07c80d146bda935a3059f09ffa0,,,,iitdanand1@gmail.com,RUNNING,,,,,25,Pipeline_0e799fd9d5d0,Pipeline,,50,0.1452873945282506,0.020976733292576235,
84c24a257e9d48b2b2e9e38752804967,,,,iitdanand1@gmail.com,RUNNING,,,,,15,Pipeline_0e799fd9d5d0,Pipeline,,50,0.1453150615526324,0.020958674476162127,
602bdec665dc427a983ed7ca028fee28,,,,iitdanand1@gmail.com,RUNNING,,,,,5,Pipeline_0e799fd9d5d0,Pipeline,,50,0.14889327962674134,0.024275797058084938,
95b0c09bcadc45fd9a2edae07127ec0f,,,,iitdanand1@gmail.com,RUNNING,,,,,25,Pipeline_0e799fd9d5d0,Pipeline,,30,0.15171967544222695,0.019098607916322233,
7972796776d74d2490164b7e946a77f8,,,,iitdanand1@gmail.com,RUNNING,,,,,15,Pipeline_0e799fd9d5d0,Pipeline,,30,0.1517825801791253,0.019140449600015753,
14082ba9388749428fcc7ceae4429eca,,,,iitdanand1@gmail.com,RUNNING,,,,,5,Pipeline_0e799fd9d5d0,Pipeline,,30,0.15107585670401133,0.02413447711205205,
7f27ff06d35345378fe5632259b65de8,,,,iitdanand1@gmail.com,RUNNING,,,,,25,Pipeline_0e799fd9d5d0,Pipeline,,10,0.1494948012451642,0.01979597234165296,
0e4e6a2d3ccc4595a98b21f59017be8a,,,,iitdanand1@gmail.com,RUNNING,,,,,15,Pipeline_0e799fd9d5d0,Pipeline,,10,0.14930564455633202,0.019745316916401547,
31947060e70a4d8d9779becd0e5a9ef9,,,,iitdanand1@gmail.com,RUNNING,,,,,5,Pipeline_0e799fd9d5d0,Pipeline,,10,0.15019964037443487,0.020692587045986872,
a811d7e9daaf46739d36e5840b625c95,,NOTEBOOK,/Users/moussagarba@icloud.com/3.Researching the model that will be best for the type of data/Random_forest merged_emp (1),iitdanand1@gmail.com,FINISHED,Pipeline,9,RegressionEvaluator,,,CrossValidator_d964fa3b8f78,CrossValidator,3,,,,
