county,confirmed_cases,confirmed_deaths,state,length_of_lockdown,cases,deaths,POP_ESTIMATE_2018,total_state_pop,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,pop_fraction,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
Jennings,110,6,Indiana,37,3.983919452,0.217304697,27611,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.002063023,90,79,90,38,74,83,22,40,17,75.7,32,0.16532,22.9
Johnson,35,0,Indiana,37,5.492078733,0.61449832,156225,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.038406145,0.011672732,17,13,8,9,10,73,18,31,19,435.8,176.8,0.16532,22.9
Knox,79,0,Indiana,37,0.623390703,0,36895,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.813118309,0.0027567,70,71,70,31,45,55,20,34,17,74.5,33,0.16532,22.9
Kosciusko,49,2,Indiana,37,0.617564025,0.025206695,79344,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470058,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.176446864,0.005928381,21,17,31,60,9,87,19,34,18,145.6,69.7,0.16532,22.9
LaGrange,42,2,Indiana,37,1.067887109,0.050851767,39330,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.002938637,10,8,19,92,14,2,19,37,18,97.8,37.1,0.16532,22.9
LaPorte,340,12,Indiana,37,3.090712409,0.109083967,110007,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916893,0.123732082,0.136732917,1.300980084,0.309071241,0.008219442,69,73,92,42,87,74,23,37,19,186.3,81,0.16532,22.9
Lake,8,0,Indiana,37,5.396244099,0.293139503,484411,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.30847006,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.388100188,0.03619395,62,82,47,81,91,92,19,36,17,994.1,418.4,0.16532,22.9
Lawrence,26,0,Indiana,37,2.737146361,0.372251905,45668,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470058,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.131383025,0.003412196,38,53,24,20,63,78,19,32,17,102.7,46.9,0.16532,22.9
Madison,259,4,Indiana,37,4.134494489,0.509098202,129641,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980083,0.161985792,0.009686444,67,91,88,39,83,40,22,39,16,291.3,130.7,0.16532,22.9
Marion,100,9,Indiana,37,8.148365404,0.495459164,954670,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980083,0.55097573,0.071330499,76,69,68,36,92,88,19,33,18,2279.6,1054.4,0.16532,22.9
Marshall,586,9,Indiana,37,0.800034596,0.021622557,46248,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.151357897,0.003455532,19,35,76,62,33,90,21,41,17,106.1,44.7,0.16532,22.9
Martin,275,6,Indiana,37,0.685132622,0,10217,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916893,0.123732082,0.136732917,1.300980083,0,0.000763388,18,62,73,70,19,12,20,43,17,30.8,14.3,0.16532,22.9
Miami,130,1,Indiana,37,3.655073523,0.02811595,35567,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.112463801,0.002657475,30,81,91,72,68,58,24,37,17,98.7,41.4,0.16532,22.9
Monroe,18,2,Indiana,37,0.986951816,0.068065643,146917,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980083,0.258649442,0.010977262,4,45,16,6,53,61,20,25,19,349.7,149.8,0.16532,22.9
Montgomery,705,19,Indiana,37,3.859594221,0.234705054,38346,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.130391697,0.002865115,55,18,22,24,37,7,20,25,18,75.6,32.8,0.16532,22.9
Morgan,99,1,Indiana,37,3.266016316,0.19966912,70116,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470058,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.1426208,0.005238888,36,50,43,15,48,66,19,36,17,170.5,68.7,0.16532,22.9
Newton,3,0,Indiana,37,4.92470202,0.71372493,14011,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.001046866,84,57,48,89,71,26,21,31,16,35.5,15,0.16532,22.9
Noble,143,18,Indiana,37,3.008499537,0.378692249,47532,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470058,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.003551469,33,9,41,75,21,75,19,38,17,115.7,48.9,0.16532,22.9
Ohio,11,0,Indiana,37,1.882272416,0,5844,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470058,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725405,1.211916894,0.123732082,0.136732917,1.300980084,0,0.000436649,22,3,12,69,40,16,17,36,18,71.1,32.3,0.16532,22.9
Orange,4025,80,Indiana,37,6.157319514,1.026219919,19489,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.001456168,61,56,67,44,73,23,21,36,17,49.8,23,0.16532,22.9
Owen,27,1,Indiana,37,1.295274646,0.047973135,20845,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980083,0,0.001557485,64,65,34,54,76,10,20,32,17,56,26.2,0.16532,22.9
Parke,19,0,Indiana,37,1.122467064,0,16927,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470058,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.001264742,29,46,69,87,72,20,22,30,16,39,18.2,0.16532,22.9
Perry,19,0,Indiana,37,1.465815098,0,19102,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.209402157,0.001427253,43,47,72,29,62,30,21,36,16,50.7,22.3,0.16532,22.9
Pike,102,0,Indiana,37,0.241740532,0,12410,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.000927243,47,72,40,80,27,39,20,38,17,38.4,17.2,0.16532,22.9
Porter,370,10,Indiana,37,2.181680956,0.05896435,169594,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470058,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.18868592,0.01267163,23,31,25,33,41,85,19,34,19,393,158.3,0.16532,22.9
Posey,16,0,Indiana,37,0.626468285,0,25540,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.001908283,20,15,20,13,11,69,19,31,18,63.3,27.4,0.16532,22.9
Pulaski,647,23,Indiana,37,2.726762371,0,12469,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980083,0,0.000931652,77,52,21,82,32,28,19,31,17,30.9,14,0.16532,22.9
Putnam,127,2,Indiana,37,2.567563991,0.132348659,37779,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.158818391,0.00282275,26,10,11,45,57,6,19,31,18,79,30.6,0.16532,22.9
Randolph,117,7,Indiana,37,1.770552493,0.120719488,24851,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.001856803,80,80,62,67,70,84,21,36,15,57.9,26,0.16532,22.9
Ripley,105,6,Indiana,37,3.681239701,0.210356554,28523,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.002131166,49,33,37,61,30,37,18,32,18,64.6,26.8,0.16532,22.9
Rush,49,2,Indiana,37,2.940646942,0.120026406,16663,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980083,0,0.001245017,51,42,55,71,36,86,21,30,16,42.6,18.4,0.16532,22.9
Scott,1,0,Indiana,37,3.727280342,0.083759109,23878,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.167518218,0.001784103,91,83,66,84,81,24,21,33,17,127,54.8,0.16532,22.9
Shelby,381,18,Indiana,37,8.005740811,0.583051152,44593,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470058,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.003331875,65,25,52,57,49,59,21,37,16,108.1,46.4,0.16532,22.9
Spencer,10,1,Indiana,37,0.491956511,0.049195651,20327,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.001518781,24,5,7,23,16,43,18,35,18,52.8,22.4,0.16532,22.9
St. Joseph,864,33,Indiana,37,3.190888241,0.121874204,270771,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.273293669,0.020231316,44,64,60,10,64,91,19,33,20,583,250.8,0.16532,22.9
Starke,25,2,Indiana,37,1.090037061,0.087202965,22935,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.043601482,0.001713645,79,63,77,83,75,68,23,33,17,75.6,35.5,0.16532,22.9
Steuben,64,2,Indiana,37,1.850459724,0.057826866,34586,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.057826866,0.002584177,3,21,30,37,20,13,19,30,18,110.7,62.7,0.16532,22.9
Sullivan,22,0,Indiana,37,1.063315611,0,20690,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.193330111,0.001545904,74,48,64,90,89,72,21,31,17,48,20,0.16532,22.9
Switzerland,15,0,Indiana,37,1.399645423,0,10717,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.000800747,56,86,89,88,82,57,24,34,16,48.1,22.5,0.16532,22.9
Tippecanoe,262,2,Indiana,37,1.357175418,0.010360118,193048,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.155401765,0.014424053,11,75,46,14,44,3,19,33,20,345.7,142.2,0.16532,22.9
Tipton,21,1,Indiana,37,1.388154416,0.066102591,15128,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980083,0,0.001130325,35,20,10,41,12,11,19,35,17,61.2,26.9,0.16532,22.9
Union,84,4,Indiana,37,2.842120222,0,7037,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470058,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.000525787,81,30,6,79,60,17,20,25,16,46.6,20.1,0.16532,22.9
Vanderburgh,195,2,Indiana,37,1.077502846,0.011051311,180974,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.850950965,0.013521914,59,88,81,8,66,77,21,34,19,769.7,355.5,0.16532,22.9
Vermillion,8,0,Indiana,37,0.516829253,0,15479,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980083,0.387621939,0.001156551,54,39,49,86,85,9,19,41,17,63.1,29.1,0.16532,22.9
Vigo,87,7,Indiana,37,0.810161474,0.065185406,107386,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470058,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.502858846,0.008023607,60,84,87,73,79,32,22,35,18,267.4,114.1,0.16532,22.9
Wabash,1,0,Indiana,37,2.141943734,0.063938619,31280,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.002337162,71,54,32,25,55,50,20,35,16,79.7,34.4,0.16532,22.9
Warren,16,0,Indiana,37,1.57327847,0.121021421,8263,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916893,0.123732082,0.136732917,1.300980084,0,0.00061739,13,6,27,56,24,1,19,34,18,23.3,10.1,0.16532,22.9
Warrick,134,21,Indiana,37,2.141704093,0.335640194,62567,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.383588793,0.004674846,12,24,15,4,5,76,18,35,18,155.1,62.9,0.16532,22.9
Washington,57,5,Indiana,37,1.753569767,0.035787138,27943,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.002087829,82,37,82,65,69,44,21,41,16,55,23.8,0.16532,22.9
Wayne,14,0,Indiana,37,2.381096821,0.075831109,65936,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.454986654,0.004926569,89,78,74,43,84,29,21,38,15,171.5,77.8,0.16532,22.9
Wells,12,0,Indiana,37,0.425441395,0,28206,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0.248174147,0.00210748,14,32,23,28,4,62,19,34,16,75.1,31.7,0.16532,22.9
White,36,1,Indiana,37,6.83711101,0.082874073,24133,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.001803156,40,22,9,27,34,5,18,29,17,48.8,25.7,0.16532,22.9
Whitley,23,1,Indiana,37,0.675001467,0.02934789,34074,13383756,230.8,212,80.3,74.4,6.5,6.1,31.8,21.7,31.1,32.1,22.3,78,76.3,22.3,9.7,15,0.7,12.2,51.1,2.308470059,0.4,1.9,0.4,2.7,0.515998648,0.126272475,0.019725404,1.211916894,0.123732082,0.136732917,1.300980084,0,0.002545922,8,29,18,11,8,31,19,37,17,99.2,42.6,0.16532,22.9
Adair,4,0,Iowa,0,0.566331587,0,7063,6312290,218.2,193.1,84.8,77.9,6.9,6.5,32.9,19.5,29.6,49.4,21.3,5.1,70.2,32.2,12.7,19.1,0.6,21.8,21.9,2.181775551,0.9,2,0.1,3,0.608970754,0.270266417,0.037387382,1.401709997,0.167292694,0.110577936,1.294934168,0,0.001118928,44,55,40,14,51,23,16,32,20,13.5,6.5,0.15503,27.2
Allamakee,113,4,Iowa,0,8.169462117,0.2891845,13832,6312290,218.2,193.1,84.8,77.9,6.9,6.5,32.9,19.5,29.6,49.4,21.3,5.1,70.2,32.2,12.7,19.1,0.6,21.8,21.9,2.181775552,0.9,2,0.1,3,0.608970754,0.270266417,0.037387382,1.401709998,0.167292694,0.110577936,1.294934168,0,0.002191281,20,41,61,72,81,33,16,35,19,22.4,11.9,0.15503,27.2
Appanoose,7,3,Iowa,0,0.562836697,0.241215727,12437,6312290,218.2,193.1,84.8,77.9,6.9,6.5,32.9,19.5,29.6,49.4,21.3,5.1,70.2,32.2,12.7,19.1,0.6,21.8,21.9,2.181775552,0.9,2,0.1,3,0.608970754,0.270266417,0.037387382,1.401709998,0.167292694,0.110577936,1.294934168,0.241215727,0.001970283,82,99,90,81,91,64,17,37,18,25.9,13.3,0.15503,27.2
Audubon,10,1,Iowa,0,1.816200509,0.181620051,5506,6312290,218.2,193.1,84.8,77.9,6.9,6.5,32.9,19.5,29.6,49.4,21.3,5.1,70.2,32.2,12.7,19.1,0.6,21.8,21.9,2.181775552,0.9,2,0.1,3,0.608970754,0.270266417,0.037387382,1.401709997,0.167292694,0.110577936,1.294934168,0,0.000872267,99,19,46,51,54,18,16,30,19,13.8,6.7,0.15503,27.2
Benton,131,0,Iowa,0,1.364948132,0.038998518,25642,6312290,218.2,193.1,84.8,77.9,6.9,6.5,32.9,19.5,29.6,49.4,21.3,5.1,70.2,32.2,12.7,19.1,0.6,21.8,21.9,2.181775552,0.9,2,0.1,3,0.608970754,0.270266417,0.037387382,1.401709998,0.167292694,0.110577936,1.294934168,0,0.004062234,43,26,36,78,42,96,15,36,22,36.4,15.5,0.15503,27.2
Black Hawk,1528,28,Iowa,0,11.54008821,0.211467585,132408,6312290,218.2,193.1,84.8,77.9,6.9,6.5,32.9,19.5,29.6,49.4,21.3,5.1,70.2,32.2,12.7,19.1,0.6,21.8,21.9,2.181775552,0.9,2,0.1,3,0.608970754,0.270266417,0.037387382,1.401709997,0.167292694,0.110577936,1.294934168,0.18125793,0.020976223,75,73,94,8,86,73,18,31,24,231.7,98.8,0.15503,27.2
