Run ID,Name,Source Type,Source Name,User,Status,estimator,estimatorParamMapsLength,evaluator,maxBins,maxDepth,mlEstimatorUid,mlModelClass,numFolds,avg_rmse,std_rmse,testData_rmse
58974d63937f49559869401211f511a8,,,,moussagarba@icloud.com,RUNNING,,,,8,8,Pipeline_f82eaf5a97d9,Pipeline,,0.2109296681654338,0.008586886237077785,
f18bec1f7aa044ac9746a1b049067c41,,,,moussagarba@icloud.com,RUNNING,,,,4,8,Pipeline_f82eaf5a97d9,Pipeline,,0.2218055660582469,0.013410237933993766,
5e63bb9572834c3082dcf9ab40eda50b,,,,moussagarba@icloud.com,RUNNING,,,,2,8,Pipeline_f82eaf5a97d9,Pipeline,,0.21520871134247965,0.01742045657081084,
f250288981b547ffbb56733483fdc61c,,,,moussagarba@icloud.com,RUNNING,,,,8,7,Pipeline_f82eaf5a97d9,Pipeline,,0.19981681491924963,0.004626322204259624,
f7c696f896f74146b8669d20d50facab,,,,moussagarba@icloud.com,RUNNING,,,,4,7,Pipeline_f82eaf5a97d9,Pipeline,,0.2080886732074135,0.01782879388480747,
8cb4511f44e34fe48ed93f46d564b5f3,,,,moussagarba@icloud.com,RUNNING,,,,2,7,Pipeline_f82eaf5a97d9,Pipeline,,0.2070737829090008,0.016578447661394307,
ae3d894e2a37434c99dafbe176c0af3b,,,,moussagarba@icloud.com,RUNNING,,,,8,6,Pipeline_f82eaf5a97d9,Pipeline,,0.18898893296936672,0.008356229594580798,
055e60a896024e3da3389c0493b9dd58,,,,moussagarba@icloud.com,RUNNING,,,,4,6,Pipeline_f82eaf5a97d9,Pipeline,,0.19796357105620413,0.022837894492271717,
11b6a71770dd447f9f660072f311f670,,,,moussagarba@icloud.com,RUNNING,,,,2,6,Pipeline_f82eaf5a97d9,Pipeline,,0.19665272882269433,0.026288152387279752,
294c31a8eb29499da7084b17190cce5b,,,,moussagarba@icloud.com,RUNNING,,,,8,5,Pipeline_f82eaf5a97d9,Pipeline,,0.18211520967359096,0.02107769700463499,
28eec73afe5648869d1b382e2e83a639,,,,moussagarba@icloud.com,RUNNING,,,,4,5,Pipeline_f82eaf5a97d9,Pipeline,,0.20338026534995166,0.022700932538388487,
25826a121d404902879bb9e85e0e9a38,,,,moussagarba@icloud.com,RUNNING,,,,2,5,Pipeline_f82eaf5a97d9,Pipeline,,0.196353371454931,0.028663516286422223,
edca8715ed124106aff2b4a4ca9aaa28,,,,moussagarba@icloud.com,RUNNING,,,,8,4,Pipeline_f82eaf5a97d9,Pipeline,,0.18094586898029527,0.015020050812471002,
7c190118d95944a8902468d7634a1dc7,,,,moussagarba@icloud.com,RUNNING,,,,4,4,Pipeline_f82eaf5a97d9,Pipeline,,0.18906512346661586,0.0278664048719594,
02eddfaff8154d05ac812a6be0a862c5,,,,moussagarba@icloud.com,RUNNING,,,,2,4,Pipeline_f82eaf5a97d9,Pipeline,,0.1980799648368433,0.029907596165590442,
be0b120435f240a382c5eb674e22e884,,,,moussagarba@icloud.com,RUNNING,,,,8,3,Pipeline_f82eaf5a97d9,Pipeline,,0.17834919719268583,0.02098075216104371,
35beafb1fbf64ebd8b7ea9f02518af5d,,,,moussagarba@icloud.com,RUNNING,,,,4,3,Pipeline_f82eaf5a97d9,Pipeline,,0.18171699501139682,0.02868643800352499,
a630022e30a2412f9907fe765ac5d997,,,,moussagarba@icloud.com,RUNNING,,,,2,3,Pipeline_f82eaf5a97d9,Pipeline,,0.20093126862146415,0.02807121665533472,
c4fec4d77dee439486c6c276dcd7715d,,,,moussagarba@icloud.com,RUNNING,,,,8,2,Pipeline_f82eaf5a97d9,Pipeline,,0.1693875343862884,0.02366695122231769,
53082b409fe94c2589f315b879f46a94,,,,moussagarba@icloud.com,RUNNING,,,,4,2,Pipeline_f82eaf5a97d9,Pipeline,,0.18223417646129406,0.028048817220703053,
6e1923094ae74bf4b1a3c9249e8ac049,,,,moussagarba@icloud.com,RUNNING,,,,2,2,Pipeline_f82eaf5a97d9,Pipeline,,0.20169712725833797,0.028883411951029867,
7bf2df9b3e22491fb86258d24e4532ef,,NOTEBOOK,/Users/iitdanand1@gmail.com/Decision Tree Estimator merged_emp_label_denormalize,moussagarba@icloud.com,FINISHED,Pipeline,21,RegressionEvaluator,,,CrossValidator_451fd1dcca36,CrossValidator,3,,,0.1792880921736335
